answer,question
"Upgrade to Power PDF Fixpack 5.1.1.11, and the issue is resolved.",PPDF 5.1.1.8 getting Error 500 when opening a document from iManage 10 using the connector integration - Intermittently
"Firm upgraded to the latest PowerPDF version (2025.3.1 as of Feb 13, 2026), and it resolved the slowness issue.","Upgraded to PPDF 5.1.1.11, and opening documents from iManage became very slow."
"Current and historical information on the availability of Tungsten Automation cloud services hosted in each region can be found at
https://status.tungstencloud.com/
. Information on planned and unplanned downtime will be posted on this page. It is also possible to subscribe to service and incident updates.",Is there a Tungsten Automation page that shows the status of Cloud based products
"Resolved in Power PDF Business 5.1.1 Fix Pack 1
433772: Power PDF did not recognize the most recent Tungsten SignDoc certificate as trustworthy.",Power PDF did not recognize the most recent Tungsten SignDoc certificate as trustworthy.
"Problem:
The Power PDF 4.0 Help Documentation section, ""
To Use and Configure Kofax Tungsten SignDoc,""
is missing an essential part for the Tungsten SignDoc URL configuration
Solution:
In the Server URL box, type the server URL.
Note:
The URL consists of a protocol scheme (such as
http://servername_or_IP:6611/cirrus
), a Tungsten SignDoc service base path, and a port number.
Example:
http://127.0.0.1:6611/cirrus",How to prepare Tungsten SignDoc server URL
"Thank you for submitting your support request form.
You will receive an email confirmation of our receipt of your submission within 1 business day. If you fail to receive an email within that time period, please check your 'Junk' or 'Spam' email folders for an email from
ts.noreply@TungstenAutomation.com
.
We strongly suggest that you whitelist the following email addresses to ensure you receive emails from Tungsten Automation support.
ts.noreply@TungstenAutomation.com
ts.case.reply@TungstenAutomation.com
We will process your Issue submission shortly and will contact you via email.
Sincerely,
Tungsten Automation Technical Support
https://knowledge.TungstenAutomation.com/",Power PDF Support request submitted (German)
"Thank you for submitting your support request form.
You will receive an email confirmation of our receipt of your submission within 1 business day. If you fail to receive an email within that time period, please check your 'Junk' or 'Spam' email folders for an email from
ts.noreply@TungstenAutomation.com
.
We strongly suggest that you whitelist the following email addresses to ensure you receive emails from Tungsten Automation support.
ts.noreply@TungstenAutomation.com
ts.case.reply@TungstenAutomation.com
We will process your Issue submission shortly and will contact you via email.
Sincerely,
Tungsten Automation Technical Support
https://knowledge.TungstenAutomation.com/",Power PDF Support request submitted (Spanish)
"To resolve this issue and successfully integrate Microsoft Foundry with Power PDF CoPilot, follow these steps:
Create Two Required Models in Microsoft Foundry:
Chat Deployment Model:
Create a model with the chat deployment type, such as
gpt-4o
.
Text Embedding Model:
Create a model with the text embedding deployment type, such as
text-embedding-ada-002
.
Ensure Both Models Are in the Same Resource:
Both the chat and text embedding models must be created within the same Azure resource. This is crucial because they need to share the same endpoint URL for proper integration.
If the models are in separate resources, you will encounter errors such as ""Unknown error: -5"" or issues related to endpoint settings.
Verify Endpoint Settings:
After creating both models in the same resource, confirm that the endpoint URL in your Power PDF CoPilot configuration matches the resource where both models reside.
Test the Integration:
Attempt to deploy the Azure AI agent again. The errors should be resolved if the models are correctly configured and located within the same resource.
Screenshot Example of improper configuration of chat deployment model and text deployment model in separate resources instead of in the same resource:",Azure AI Agent Setup
"The false prompts appear since iManage10 server configuration IMWorkOptions.xml is unaware that powerPDF is an integrated application
have IMWorkOptions.xml - integrated process set for 'PowerPDF"" to resolve this issue
<ws_option name=""integration"">
<key name=""IntegratedProcesses"" value=""
PowerPDF
""/>
</ws_option>
Also, if your config file already contains the key FileSave with value iManage.WorkSiteSavenSync, in some older server versions we saw issues triggered by having the setting enabled; we recommend if this is the case to test with it commented out; like in the example below: <!-- <key name=""FileSave"" value = ""iManage.WorkSiteSavenSync"" /> -->
The copy which gets downloaded from the server will be located at %APPDATA%\Roaming\iManage\Work\Configs
To customize it locally, you can edit the file and copy to %LOCALAPPDATA%\iManage\Work\Configs which overrides the server copy.
NOTE:
You will need to create the Config's directory in the local appdata path if it doesn't exist.
Once you have done all the changes, restart the machine before testing Power PDF and with the iManage workflows further and this issue should now be resolved and not reoccur.
Applies to :
Product
Version
Build
Environment
Hardware
Power PDF
4.1
ADV
Windows
Power PDF
5.0
ADV
Windows
Power PDF for Business
5.1
ADV
Windows
Power PDF for Business
2025.3
ADV
Windows","Using PowerPDF with imanage10, 'Document failed to check in' appears in the imanage agent window when checking out a PDF document when PowerPDF is set as the default"
"You will need to save the Outlook attachment (this case was a XLSX) file locally (Documents folder)
In file explorer > right-click on the file and go to properties
See if it shows the option to Unblock like below
Check the Unblock box and OK
Open the local file in Excel and Print to the PowerPDF Printer",Error opening PDF after Printing Excel file to PowerPDF Printer
"Please try the steps below:
Open
Power PDF
.
Click
File
>
Options
>
General
.
Under the
Printer
section, check the option
“Print default options”
.
Click
OK
, close Power PDF, and then relaunch the application.
Test the printing functionality again.",Unable to print using Power PDF
"To set the PDF/A-1b profile to ""Embed All Fonts"" in Power PDF, follow these steps:
Navigate to the following folder
on your computer:
%appdata%\Kofax\PDF\Profiles\ENU\
Locate the file
named
Profile.ini
.
Open
Profile.ini
in a text editor
(such as Notepad).
Modify or add the following line
under the [Control 2] section:
FontEmbedSelection=2
This setting ensures that all fonts are embedded when using the PDF/A-1b profile.
If the line already exists with a different value, change it to
2
.
7. Save the file
and close the text editor.
Note:
Always make a backup of configuration files before making manual changes.",Modify PDF/A-1b profile settings
